id1,id2,weight
11120,118074,1
11120,138896,1
11120,501329,1
11120,153409,1
11120,166006,1
11120,169962,1
11120,178168,1
11120,179052,1
11120,181205,1
11643,110199,1
11681,374,1
11681,55270,1
11714,374,1
11714,24265,1
11714,92382,1
11714,146489,1
11714,172820,1
11763,178116,1
11793,164235,1
11851,56689,1
11857,42607,1
11870,76150,1
11953,61710,1
11953,182925,1
11983,3356,1
11991,5982,1
11991,15298,1
11991,23114,3
11991,23310,1
11991,24265,1
11991,28139,2
11991,29549,1
11991,32553,1
11991,33347,6
11991,34682,3
11991,38399,3
11991,39953,1
11991,51431,1
11991,51964,1
11991,56067,1
11991,57453,1
11991,58050,1
11991,58101,1
11991,73038,1
11991,80528,1
11991,81407,1
11991,81413,1
11991,81425,1
11991,81431,1
11991,81442,1
11991,81448,1
11991,81471,1
11991,82103,1
11991,83371,1
11991,84773,1
11991,87707,1
11991,181348,1
11991,96560,1
11991,96618,1
11991,100504,1
11991,102300,1
11991,103639,1
11991,104594,1
11991,105490,1
11991,111571,2
11991,112279,3
11991,115669,2
11991,500844,1
11991,123023,1
11991,126119,1
11991,128580,1
11991,129123,1
11991,130820,3
11991,139863,1
11991,142018,2
11991,143229,2
11991,143450,1
11991,146640,1
11991,149067,6
11991,149292,1
11991,151754,1
11991,160514,1
11991,170359,1
11991,173134,1
11991,175431,1
11991,178705,2
12722,5885,1
12819,26474,2
12851,14223,1
12883,93571,1
12914,56108,1
12914,83659,1
12914,94145,1
12914,96402,1
12914,96548,1
12914,101793,1
12914,115342,1
13017,3506,1
13017,3506,1
13017,4773,1
13017,5342,1
13017,8709,1
13017,11519,1
13017,14513,5
13017,14797,1
13017,14827,1
13017,16211,1
13017,16917,1
13017,18755,2
13017,181866,1
13017,23475,1
13017,23958,1
13017,26187,6
13017,30694,3
13017,36115,16
13017,36897,1
13017,41346,3
13017,43091,1
13017,43260,1
13017,48135,1
13017,49272,5
13017,56570,1
13017,56701,1
13017,57623,1
13017,57842,1
13017,58265,1
13017,58750,1
13017,59123,8
13017,59912,1
13017,72760,1
13017,73546,2
13017,74027,2
13017,78365,1
13017,78453,1
13017,181531,1
13017,13496,1
13017,81359,1
13017,84309,1
13017,84926,1
13017,86173,1
13017,86649,4
13017,86777,1
13017,87421,1
13017,99616,1
13017,99911,1
13017,101150,1
13017,105490,1
13017,105837,2
13017,109606,1
13017,110199,17
13017,112347,3
13017,112580,1
